url,country_slug,country_label,tool_slug,region_group,distance_category,movement_framing,quality_class,intro_chars,what_matters_count,document_count,travel_count,visa_diff_count,official_ref_count,has_country_guide,curated_intro_chars,curated_has_doc_extras,curated_has_travel_extras,low_visa_diff_cluster,uniqueness_notes,visa_routes,document_notes_sample,official_refs_sample,information_as_of
"/netherlands/moving/tools/moving-checklist/from/south-africa","south-africa","South Africa","moving-checklist","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","248","6","6","5","4","3","true","248","true","true","false","","Highly Skilled Migrant; Partner / Family route; Study route","Obtaining replacement civil documents may take time. | Translation or legalization may be relevant depending on document use.","IND; Netherlands Embassy in South Africa; Department of Home Affairs","2026-09-06"
"/netherlands/moving/tools/arrival-planner/from/south-africa","south-africa","South Africa","arrival-planner","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","223","6","4","3","4","3","true","223","true","false","false","","Highly Skilled Migrant; Partner / Family route; Study route","Obtaining replacement civil documents may take time. | Translation or legalization may be relevant depending on document use.","IND; Netherlands Embassy in South Africa; Department of Home Affairs","2026-09-06"
"/netherlands/moving/tools/document-readiness/from/south-africa","south-africa","South Africa","document-readiness","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","204","6","6","3","4","3","true","204","true","false","false","","Highly Skilled Migrant; Partner / Family route; Study route","Obtaining replacement civil documents may take time. | Translation or legalization may be relevant depending on document use.","IND; Netherlands Embassy in South Africa; Department of Home Affairs","2026-09-06"
"/netherlands/moving/tools/first-90-days/from/south-africa","south-africa","South Africa","first-90-days","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","186","6","3","3","4","3","true","186","false","false","false","first-90-days curated JSON historically thin across countries","Highly Skilled Migrant; Partner / Family route; Study route","Obtaining replacement civil documents may take time. | Translation or legalization may be relevant depending on document use.","IND; Netherlands Embassy in South Africa; Department of Home Affairs","2026-09-06"
"/netherlands/moving/tools/moving-checklist/from/kenya","kenya","Kenya","moving-checklist","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","433","6","6","5","4","4","true","433","true","false","false","","Highly skilled migrant and other employer-sponsored employment; EU Blue Card where salary and qualification rules are met; Study with a Dutch institution as sponsor; Partner or family routes with relationship and evidence requirements; Startup or self-employment where conditions are met; Orientation year for eligible graduates—see IND pages for current criteria; Intra-corporate transfer where the official route matches your case","Netherlands Worldwide explains that Kenyan documents for use in the Netherlands must be legalised by the Kenyan Ministry of Foreign Affairs. | Documents should be original and complete as described on the Kenya legalisation page. Swahili documents generally need translation into Dutch, English, French, or German when translation is required; English documents often do not—verify per document on Netherlands Worldwide and with the receiving authority.","IND; Netherlands Worldwide; Netherlands Worldwide; Netherlands Worldwide","2026-09-06"
"/netherlands/moving/tools/arrival-planner/from/kenya","kenya","Kenya","arrival-planner","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","231","6","4","5","4","4","true","231","false","false","false","arrival-planner curated JSON historically thin across countries","Highly skilled migrant and other employer-sponsored employment; EU Blue Card where salary and qualification rules are met; Study with a Dutch institution as sponsor; Partner or family routes with relationship and evidence requirements; Startup or self-employment where conditions are met; Orientation year for eligible graduates—see IND pages for current criteria; Intra-corporate transfer where the official route matches your case","Netherlands Worldwide explains that Kenyan documents for use in the Netherlands must be legalised by the Kenyan Ministry of Foreign Affairs. | Documents should be original and complete as described on the Kenya legalisation page. Swahili documents generally need translation into Dutch, English, French, or German when translation is required; English documents often do not—verify per document on Netherlands Worldwide and with the receiving authority.","IND; Netherlands Worldwide; Netherlands Worldwide; Netherlands Worldwide","2026-09-06"
"/netherlands/moving/tools/document-readiness/from/kenya","kenya","Kenya","document-readiness","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","272","6","6","5","4","4","true","272","true","false","false","","Highly skilled migrant and other employer-sponsored employment; EU Blue Card where salary and qualification rules are met; Study with a Dutch institution as sponsor; Partner or family routes with relationship and evidence requirements; Startup or self-employment where conditions are met; Orientation year for eligible graduates—see IND pages for current criteria; Intra-corporate transfer where the official route matches your case","Netherlands Worldwide explains that Kenyan documents for use in the Netherlands must be legalised by the Kenyan Ministry of Foreign Affairs. | Documents should be original and complete as described on the Kenya legalisation page. Swahili documents generally need translation into Dutch, English, French, or German when translation is required; English documents often do not—verify per document on Netherlands Worldwide and with the receiving authority.","IND; Netherlands Worldwide; Netherlands Worldwide; Netherlands Worldwide","2026-09-06"
"/netherlands/moving/tools/first-90-days/from/kenya","kenya","Kenya","first-90-days","non-eu","far","immigration-first","ADEQUATE","353","6","4","5","4","4","true","136","false","false","false","Curated intro was thin/boilerplate; composer supplied record-backed framing | first-90-days curated JSON historically thin across countries","Highly skilled migrant and other employer-sponsored employment; EU Blue Card where salary and qualification rules are met; Study with a Dutch institution as sponsor; Partner or family routes with relationship and evidence requirements; Startup or self-employment where conditions are met; Orientation year for eligible graduates—see IND pages for current criteria; Intra-corporate transfer where the official route matches your case","Netherlands Worldwide explains that Kenyan documents for use in the Netherlands must be legalised by the Kenyan Ministry of Foreign Affairs. | Documents should be original and complete as described on the Kenya legalisation page. Swahili documents generally need translation into Dutch, English, French, or German when translation is required; English documents often do not—verify per document on Netherlands Worldwide and with the receiving authority.","IND; Netherlands Worldwide; Netherlands Worldwide; Netherlands Worldwide","2026-09-06"
"/netherlands/moving/tools/moving-checklist/from/united-states","united-states","United States","moving-checklist","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","207","6","5","5","4","3","true","207","true","false","false","","Highly Skilled Migrant visa — employer-sponsored work visa for skilled professionals; Dutch American Friendship Treaty (DAFT) — allows US entrepreneurs to start businesses in the Netherlands; Partner / family visa — for spouses or partners of EU / Dutch residents; Study visa — for students enrolled in Dutch universities","US documents may need apostille certification depending on visa route.","IND; Netherlands Embassy in the US; Vital Records","2026-09-06"
"/netherlands/moving/tools/arrival-planner/from/united-states","united-states","United States","arrival-planner","non-eu","far","immigration-first","ADEQUATE","171","6","2","5","4","3","true","171","false","false","false","arrival-planner curated JSON historically thin across countries","Highly Skilled Migrant visa — employer-sponsored work visa for skilled professionals; Dutch American Friendship Treaty (DAFT) — allows US entrepreneurs to start businesses in the Netherlands; Partner / family visa — for spouses or partners of EU / Dutch residents; Study visa — for students enrolled in Dutch universities","US documents may need apostille certification depending on visa route.","IND; Netherlands Embassy in the US; Vital Records","2026-09-06"
"/netherlands/moving/tools/document-readiness/from/united-states","united-states","United States","document-readiness","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","195","6","3","5","4","3","true","195","false","false","false","","Highly Skilled Migrant visa — employer-sponsored work visa for skilled professionals; Dutch American Friendship Treaty (DAFT) — allows US entrepreneurs to start businesses in the Netherlands; Partner / family visa — for spouses or partners of EU / Dutch residents; Study visa — for students enrolled in Dutch universities","US documents may need apostille certification depending on visa route.","IND; Netherlands Embassy in the US; Vital Records","2026-09-06"
"/netherlands/moving/tools/first-90-days/from/united-states","united-states","United States","first-90-days","non-eu","far","immigration-first","ADEQUATE","255","6","2","5","4","3","true","178","false","false","false","Curated intro was thin/boilerplate; composer supplied record-backed framing | first-90-days curated JSON historically thin across countries","Highly Skilled Migrant visa — employer-sponsored work visa for skilled professionals; Dutch American Friendship Treaty (DAFT) — allows US entrepreneurs to start businesses in the Netherlands; Partner / family visa — for spouses or partners of EU / Dutch residents; Study visa — for students enrolled in Dutch universities","US documents may need apostille certification depending on visa route.","IND; Netherlands Embassy in the US; Vital Records","2026-09-06"
"/netherlands/moving/tools/moving-checklist/from/india","india","India","moving-checklist","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","187","6","5","5","4","3","true","187","true","false","false","","Highly Skilled Migrant visa — employer-sponsored route used by most Indian professionals; EU Blue Card — alternative for highly qualified workers; Partner / family visa — for spouses or partners of Dutch residents; Study visa — for students relocating for Dutch universities","Educational certificates may need verification or apostille depending on visa route.","IND; Netherlands Embassy in India; Passport Seva","2026-09-06"
"/netherlands/moving/tools/arrival-planner/from/india","india","India","arrival-planner","non-eu","far","immigration-first","ADEQUATE","382","6","2","5","4","3","true","159","false","false","false","Curated intro was thin/boilerplate; composer supplied record-backed framing | arrival-planner curated JSON historically thin across countries","Highly Skilled Migrant visa — employer-sponsored route used by most Indian professionals; EU Blue Card — alternative for highly qualified workers; Partner / family visa — for spouses or partners of Dutch residents; Study visa — for students relocating for Dutch universities","Educational certificates may need verification or apostille depending on visa route.","IND; Netherlands Embassy in India; Passport Seva","2026-09-06"
"/netherlands/moving/tools/document-readiness/from/india","india","India","document-readiness","non-eu","far","immigration-first","ADEQUATE","151","6","4","5","4","3","true","151","true","false","false","","Highly Skilled Migrant visa — employer-sponsored route used by most Indian professionals; EU Blue Card — alternative for highly qualified workers; Partner / family visa — for spouses or partners of Dutch residents; Study visa — for students relocating for Dutch universities","Educational certificates may need verification or apostille depending on visa route.","IND; Netherlands Embassy in India; Passport Seva","2026-09-06"
"/netherlands/moving/tools/first-90-days/from/india","india","India","first-90-days","non-eu","far","immigration-first","ADEQUATE","133","6","2","5","4","3","true","133","false","false","false","first-90-days curated JSON historically thin across countries","Highly Skilled Migrant visa — employer-sponsored route used by most Indian professionals; EU Blue Card — alternative for highly qualified workers; Partner / family visa — for spouses or partners of Dutch residents; Study visa — for students relocating for Dutch universities","Educational certificates may need verification or apostille depending on visa route.","IND; Netherlands Embassy in India; Passport Seva","2026-09-06"
"/netherlands/moving/tools/moving-checklist/from/indonesia","indonesia","Indonesia","moving-checklist","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","486","6","6","5","4","4","true","486","true","false","false","","Highly skilled migrant and other employer-sponsored employment; EU Blue Card where salary and qualification rules are met; Study with a Dutch institution as sponsor; Partner or family routes with relationship and evidence requirements; Startup or self-employment where conditions are met; Orientation year for eligible graduates—see IND pages for current criteria; Intra-corporate transfer where the official route matches your case","Netherlands Worldwide explains that to use a document from Indonesia in the Netherlands it must be legalised with an apostille from the Indonesian Ministry of Law—a simplified legalisation route for use in the Netherlands. | Whether you also need certified translation depends on the document and the authority that receives it; confirm on the Netherlands Worldwide Indonesia legalisation page and with your sponsor or the IND checklist.","IND; Netherlands Worldwide; Netherlands Worldwide; Netherlands Worldwide","2026-09-06"
"/netherlands/moving/tools/arrival-planner/from/indonesia","indonesia","Indonesia","arrival-planner","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","252","6","4","5","4","4","true","252","false","false","false","arrival-planner curated JSON historically thin across countries","Highly skilled migrant and other employer-sponsored employment; EU Blue Card where salary and qualification rules are met; Study with a Dutch institution as sponsor; Partner or family routes with relationship and evidence requirements; Startup or self-employment where conditions are met; Orientation year for eligible graduates—see IND pages for current criteria; Intra-corporate transfer where the official route matches your case","Netherlands Worldwide explains that to use a document from Indonesia in the Netherlands it must be legalised with an apostille from the Indonesian Ministry of Law—a simplified legalisation route for use in the Netherlands. | Whether you also need certified translation depends on the document and the authority that receives it; confirm on the Netherlands Worldwide Indonesia legalisation page and with your sponsor or the IND checklist.","IND; Netherlands Worldwide; Netherlands Worldwide; Netherlands Worldwide","2026-09-06"
"/netherlands/moving/tools/document-readiness/from/indonesia","indonesia","Indonesia","document-readiness","non-eu","far","immigration-first","STRONG_UNIQUE_VALUE","265","6","6","5","4","4","true","265","true","false","false","","Highly skilled migrant and other employer-sponsored employment; EU Blue Card where salary and qualification rules are met; Study with a Dutch institution as sponsor; Partner or family routes with relationship and evidence requirements; Startup or self-employment where conditions are met; Orientation year for eligible graduates—see IND pages for current criteria; Intra-corporate transfer where the official route matches your case","Netherlands Worldwide explains that to use a document from Indonesia in the Netherlands it must be legalised with an apostille from the Indonesian Ministry of Law—a simplified legalisation route for use in the Netherlands. | Whether you also need certified translation depends on the document and the authority that receives it; confirm on the Netherlands Worldwide Indonesia legalisation page and with your sponsor or the IND checklist.","IND; Netherlands Worldwide; Netherlands Worldwide; Netherlands Worldwide","2026-09-06"
"/netherlands/moving/tools/first-90-days/from/indonesia","indonesia","Indonesia","first-90-days","non-eu","far","immigration-first","ADEQUATE","355","6","4","5","4","4","true","147","false","false","false","Curated intro was thin/boilerplate; composer supplied record-backed framing | first-90-days curated JSON historically thin across countries","Highly skilled migrant and other employer-sponsored employment; EU Blue Card where salary and qualification rules are met; Study with a Dutch institution as sponsor; Partner or family routes with relationship and evidence requirements; Startup or self-employment where conditions are met; Orientation year for eligible graduates—see IND pages for current criteria; Intra-corporate transfer where the official route matches your case","Netherlands Worldwide explains that to use a document from Indonesia in the Netherlands it must be legalised with an apostille from the Indonesian Ministry of Law—a simplified legalisation route for use in the Netherlands. | Whether you also need certified translation depends on the document and the authority that receives it; confirm on the Netherlands Worldwide Indonesia legalisation page and with your sponsor or the IND checklist.","IND; Netherlands Worldwide; Netherlands Worldwide; Netherlands Worldwide","2026-09-06"
"/netherlands/moving/tools/moving-checklist/from/united-kingdom","united-kingdom","United Kingdom","moving-checklist","non-eu","near","immigration-first","ADEQUATE","172","6","3","5","4","3","true","172","false","false","false","","Highly Skilled Migrant visa — employer-sponsored route for skilled professionals; EU Blue Card — alternative for highly qualified professionals; Partner / family visa — for partners of Dutch or EU residents; Entrepreneur visa — for founders launching businesses in the Netherlands","Certain documents may require apostille certification.","IND; Netherlands Embassy in the UK; GOV.UK","2026-09-06"
"/netherlands/moving/tools/arrival-planner/from/united-kingdom","united-kingdom","United Kingdom","arrival-planner","non-eu","near","immigration-first","ADEQUATE","390","6","2","5","4","3","true","152","false","false","false","Curated intro was thin/boilerplate; composer supplied record-backed framing | arrival-planner curated JSON historically thin across countries","Highly Skilled Migrant visa — employer-sponsored route for skilled professionals; EU Blue Card — alternative for highly qualified professionals; Partner / family visa — for partners of Dutch or EU residents; Entrepreneur visa — for founders launching businesses in the Netherlands","Certain documents may require apostille certification.","IND; Netherlands Embassy in the UK; GOV.UK","2026-09-06"
"/netherlands/moving/tools/document-readiness/from/united-kingdom","united-kingdom","United Kingdom","document-readiness","non-eu","near","immigration-first","ADEQUATE","167","6","3","5","4","3","true","167","false","false","false","","Highly Skilled Migrant visa — employer-sponsored route for skilled professionals; EU Blue Card — alternative for highly qualified professionals; Partner / family visa — for partners of Dutch or EU residents; Entrepreneur visa — for founders launching businesses in the Netherlands","Certain documents may require apostille certification.","IND; Netherlands Embassy in the UK; GOV.UK","2026-09-06"
"/netherlands/moving/tools/first-90-days/from/united-kingdom","united-kingdom","United Kingdom","first-90-days","non-eu","near","immigration-first","ADEQUATE","255","6","2","5","4","3","true","145","false","false","false","Curated intro was thin/boilerplate; composer supplied record-backed framing | first-90-days curated JSON historically thin across countries","Highly Skilled Migrant visa — employer-sponsored route for skilled professionals; EU Blue Card — alternative for highly qualified professionals; Partner / family visa — for partners of Dutch or EU residents; Entrepreneur visa — for founders launching businesses in the Netherlands","Certain documents may require apostille certification.","IND; Netherlands Embassy in the UK; GOV.UK","2026-09-06"
"/netherlands/moving/tools/moving-checklist/from/canada","canada","Canada","moving-checklist","non-eu","far","immigration-first","ADEQUATE","153","6","4","5","4","3","true","153","false","false","false","","Sponsored employment and highly skilled migrant routes; Study permits with enrollment at a Dutch institution; Partner and family routes with relationship evidence; Entrepreneurship, startup, or self-employment where criteria are met; Working Holiday Scheme for eligible Canadians","Canadian documents may require apostille authentication for use abroad (see Global Affairs Canada). | Provincial issuing bodies can have different processing times for civil records.","IND; Netherlands Worldwide; Global Affairs Canada","2026-09-06"
"/netherlands/moving/tools/arrival-planner/from/canada","canada","Canada","arrival-planner","non-eu","far","immigration-first","ADEQUATE","383","6","3","5","4","3","true","137","false","false","false","Curated intro was thin/boilerplate; composer supplied record-backed framing | arrival-planner curated JSON historically thin across countries","Sponsored employment and highly skilled migrant routes; Study permits with enrollment at a Dutch institution; Partner and family routes with relationship evidence; Entrepreneurship, startup, or self-employment where criteria are met; Working Holiday Scheme for eligible Canadians","Canadian documents may require apostille authentication for use abroad (see Global Affairs Canada). | Provincial issuing bodies can have different processing times for civil records.","IND; Netherlands Worldwide; Global Affairs Canada","2026-09-06"
