rank,url,page_type,cluster,opportunity_score,recommended_action,gsc_impressions,gsc_position,gsc_ctr,search_demand_proxy,page_quality_proxy,internal_link_strength,business_usefulness,ability_to_improve,evidence_basis,priority,confidence,notes
1,https://www.expatcopilot.com/netherlands/official-figures/,STATISTICS_RESOURCE,authority,95,ENRICH,,,,high,yes,sitewide_only,high,high,"Citeable 2026 figures table; P0 linkability; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P0,medium,Do not invent GSC; re-rank when exports available
2,https://www.expatcopilot.com/netherlands/moving/tools/hsm-salary-checker/,CALCULATOR,visas_immigration,94,ENRICH,,,,high,no,moderate_contextual,high,high,"Employer/HR demand; official floors; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P0,medium,Do not invent GSC; re-rank when exports available
3,https://www.expatcopilot.com/netherlands/taxes/tools/30-ruling-calculator/,CALCULATOR,tax,93,ENRICH,,,,high,soft,strong_contextual,high,high,"High citation + tool utility; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P0,medium,Do not invent GSC; re-rank when exports available
4,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/,CALCULATOR,cost_of_living,92,ENRICH,,,,high,yes,strong_contextual,high,high,"Classic magnet; publish dataset; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P0,medium,Do not invent GSC; re-rank when exports available
5,https://www.expatcopilot.com/netherlands/tools/city-comparison/,COMPARISON,cities,90,ENRICH,,,,high,yes,sitewide_only,high,high,"Proprietary scoring moat if transparent; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P0,medium,Do not invent GSC; re-rank when exports available
6,https://www.expatcopilot.com/netherlands/work/tools/payslip-decoder/,INTERACTIVE_TOOL,working,89,ENRICH,,,,high,yes,strong_contextual,medium,high,"Rare NL decoder; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P1,medium,Do not invent GSC; re-rank when exports available
7,https://www.expatcopilot.com/netherlands/taxes/30-percent-ruling/,GUIDE,thirty_percent_ruling,88,OPTIMIZE,,,,high,no,weak_contextual,high,high,"Companion to calculator; year CTR; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P1,medium,Do not invent GSC; re-rank when exports available
8,https://www.expatcopilot.com/netherlands/visa/highly-skilled-migrant/,GUIDE,visas_immigration,87,OPTIMIZE,,,,high,yes,strong_contextual,high,high,"Core YMYL + employer demand; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P1,medium,Do not invent GSC; re-rank when exports available
9,https://www.expatcopilot.com/netherlands/moving-checklist-netherlands/,CHECKLIST,moving,86,ENRICH,,,,high,no,strong_contextual,high,high,"PDF checklist magnet; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P1,medium,Do not invent GSC; re-rank when exports available
10,https://www.expatcopilot.com/netherlands/documents-needed-to-move-netherlands/,CHECKLIST,moving,85,ENRICH,,,,high,n/a,n/a,high,high,"University/HR packs; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P1,medium,Do not invent GSC; re-rank when exports available
11,https://www.expatcopilot.com/netherlands/visa-checker/,INTERACTIVE_TOOL,visas_immigration,84,OPTIMIZE,,,,high,yes,strong_contextual,high,high,"High intent; fix perf+shareability; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P1,medium,Do not invent GSC; re-rank when exports available
12,https://www.expatcopilot.com/netherlands/visa-cost-calculator/,CALCULATOR,visas_immigration,83,ENRICH,,,,medium,yes,strong_contextual,high,medium,"Fee table citeability; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P1,medium,Do not invent GSC; re-rank when exports available
13,https://www.expatcopilot.com/netherlands/taxes/tools/dutch-salary-net-calculator/,CALCULATOR,tax,82,OPTIMIZE,,,,high,soft,strong_contextual,high,medium,"High demand competitive; GSC not available — ranked via audit proxies (linkability, demand, IA, tools)",P1,medium,Do not invent GSC; re-rank when exports available
