issue_id,severity,category,title,evidence,affected_urls_count,affected_urls_sample,affected_templates,likely_seo_impact,confidence,root_cause,remediation_concept,implementation_complexity,expected_impact
TECH-P0-SITEMAP-404-NG-PH,P0,indexability,Sitemap country-tool URLs for Nigeria/Philippines return 404 + noindex,02-TECHNICAL-SEO-AUDIT.md; indexability-audit ACCIDENTALLY_NON_INDEXABLE=8; production probes,8,"/netherlands/moving/tools/{arrival-planner,document-readiness,first-90-days,moving-checklist}/from/{nigeria,philippines}/",country-scoped moving tools (/from/{country}/),Crawl waste; soft trust hit; sitemap advertises non-indexable URLs; may contribute to exclusion/soft-404 patterns,high,Country publish/enable gates vs sitemap membership mismatch for NG/PH tool-from routes,Remove from sitemap until 200+indexable OR enable countries consistently with parent guides,low,high_for_hygiene_medium_for_traffic
TECH-P1-SLASH-CANONICAL-SITEMAP,P1,technical_seo,"Sitewide trailing-slash: sitemap 308, canonical→308, self-canonical mismatch",canonical-audit (~445 CANONICAL_POINTS_TO_TRAILING_SLASH…); redirect-audit 452 sitemap 3xx; 02 report,~452 sitemap locs / ~445 live HTML,Essentially all public NL URLs,sitewide,Crawl inefficiency; conflicting index signals; possible contribution to crawled-not-indexed / delayed consolidation,high,Code normalizeSitePath prefers trailing slash; platform serves non-slash 200 without next.config trailingSlash,"Pick one URL form end-to-end (sitemap, canonical, internal links, redirects) — single source of truth",medium,high_crawl_efficiency_uncertain_ranking_lift
IA-P1-ORPHAN-COUNTRY-TOOLS,P1,internal_linking,~124 indexable orphans — mostly country×tool /from/ surfaces,orphan-pages.csv 124 orphan=yes; 03-INTERNAL-LINKING; internal-link-graph,124,moving/tools/*/from/* and first_90_days variants,country-scoped tools; some culture/living,Discovered mainly via sitemap; weak PageRank-like flow; higher crawled-not-indexed risk,high,Programmatic URL generation without contextual body links from hubs/origin guides,Hub→child and origin-guide→tool links; unique country deltas before expecting indexation,medium,high_for_indexation_of_programmatic_set
IA-P1-EXPLORE-CONCENTRATION,P1,architecture,Sitewide ExploreNetherlandsCrossLinks concentrates equity on ~23 URLs,03-INTERNAL-LINKING-AND-ARCHITECTURE.md; explore block on every NL page,~23 destinations × all NL pages,"moving pillar, visas, working, cities, services, tools…",netherlands layout sitewide,Hubs look strong; long-tail children starved; uneven topical authority,high,Global utility strip used as primary equity distribution,Keep discovery aid but rebalance with cluster-internal meshes; avoid equal weight for narrow guides,medium,medium_architecture_lift
IA-P2-MISSING-HUBS,P2,architecture,Healthcare and education clusters lack clean live hubs,topic-clusters.csv; hub-quality.csv missing_hub,~17 pages across clusters,health/* ; education/* ; services/international-schools,health guides; education guides,Weaker cluster cohesion; harder topical ranking for YMYL health/education,medium,Declared hub URLs not live / children not linking back,Launch or designate live hub + bidirectional child links,medium,medium_cluster_strength
SERP-P1-MISSING-H1,P1,serp_ctr,19 indexable pages missing H1,05-SERP-CTR-AUDIT.md; metadata-audit.csv,19,Mostly culture cluster pages,culture guides,Weaker on-page relevance; accessibility; possible CTR/engagement effects,high,Template/view omitting H1 on subset of culture pages,Add single clear H1 aligned to primary query,low,medium_local
SERP-P2-CTR-HEURISTIC,P2,serp_ctr,~122 pages with refined CTR-risk metadata heuristics; 205 long titles,05-SERP-CTR-AUDIT; metadata-audit ctr_risk_refined=yes,122 strong / 205 long titles,Mixed guides and tools,many,Possible CTR drag — UNVERIFIED without GSC,low,Long/generic/mismatched titles/descriptions; missing years on year-sensitive topics,Prioritize with GSC; fix material mismatches first — do not chase bounce,low_to_medium,unknown_until_gsc
SERP-P2-CANNIBALIZATION-TITLES,P2,cannibalization,Duplicate title groups: homepage/NL hub; living hub/survival guide,05-SERP-CTR-AUDIT duplicate title groups=2,4,/ and /netherlands/; /netherlands/living/ and /living/survival-guide/,homepage; country hub; living hub,SERP competition between sibling URLs,medium,Shared title cores across related routes,Differentiate titles/intent; clarify homepage indexing role,low,medium_local
TRUST-P2-YMYL-EEAT,P2,trust_ymyl,Large HIGH/MEDIUM YMYL surface without named experts; empty SITE_SAME_AS,06-TRUST-YMYL-SCHEMA-AUDIT; ymyl-pages HIGH=110 MEDIUM=240,350,"visa, tax, health, employment, housing legal",YMYL guides and tools,May limit competitive rankings / trust vs expert sites; not evidence of spam,medium,Org-level authorship by design; no sameAs profiles,Stronger official sourcing; real org profiles if they exist; never invent Person experts,medium,medium_long_term
TRUST-P2-HEALTH-SCHEMA,P2,schema,Health-insurance page MedicalWebPage/MedicalSpecialty with weak non-advice extract,06-TRUST-YMYL-SCHEMA-AUDIT,1+,health-insurance-comparison-netherlands,health comparison,Possible rich-result/trust mismatch for YMYL,medium,Aggressive medical schema vs informational positioning,Align schema types with non-clinical informational role,low,low_to_medium
