url,asset_type,current_quality,unique_value,target_audience,citation_value,outreach_value,competitive_moat,improvement_needed,priority,notes
https://www.expatcopilot.com/netherlands/official-figures/,STATISTICS_RESOURCE,high,high,journalists;HR;employers;universities;relocation companies;citation systems,high,high,medium,Historical archive by year; machine-readable JSON/CSV; stronger changelog,P0,"Citeable 2026 table (HSM floors, IND fees, 30% norms, min wage, eigen risico). Curated official figures — NOT original survey research. No verified external backlink counts in this audit."
https://www.expatcopilot.com/sources/,REFERENCE_CONTENT,medium,low,journalists;trust evaluators;partners,low,low,low,Tool-specific methodology deep-links; downloadable bibliography where relevant,P3,Supports E-E-A-T; rarely earns links itself
https://www.expatcopilot.com/methodology/,REFERENCE_CONTENT,medium,low,journalists;trust evaluators;partners,low,low,low,Tool-specific methodology deep-links; downloadable bibliography where relevant,P3,Prerequisite for citing calculators; not a link magnet alone
https://www.expatcopilot.com/how-we-rank-services/,REFERENCE_CONTENT,medium,medium,journalists;trust evaluators;partners,low,medium,low,Tool-specific methodology deep-links; downloadable bibliography where relevant,P3,Trust/affiliate transparency — secondary linkability
https://www.expatcopilot.com/netherlands/citizenship/tools/dual-citizenship-awareness-tool/,INTERACTIVE_TOOL,medium,medium,movers;expat communities,low,low,low,Awareness only,P3,"Dual Citizenship Awareness Tool (id=dual-citizenship-awareness-tool, templateType=checker). Low linkability"
https://www.expatcopilot.com/netherlands/citizenship/tools/dutch-citizenship-timeline-calculator/,CALCULATOR,medium,medium,movers;expat communities,medium,medium,low,Timeline graphic export,P2,"Dutch Citizenship Timeline Calculator (id=dutch-citizenship-timeline-calculator, templateType=calculator). Visual timelines attract shares"
https://www.expatcopilot.com/netherlands/citizenship/tools/permanent-residence-eligibility-calculator/,CALCULATOR,medium,medium,movers;immigration advisors,medium,medium,low,Heavy disclaimers; IND remains SoT,P2,"Permanent Residence Eligibility Calculator (id=permanent-residence-eligibility-calculator, templateType=calculator). Eligibility tools get links but accuracy contested"
https://www.expatcopilot.com/netherlands/document-readiness-checker/,CHECKLIST,medium,medium,movers;universities;relocation companies,medium,medium,medium,Publish country document matrix as DATA_RESOURCE,P1,"Document Readiness Checker (id=document-readiness, templateType=checker). Latent country×document dataset"
https://www.expatcopilot.com/netherlands/family/tools/childcare-cost-estimator/,CALCULATOR,medium,medium,families;HR;universities,medium,medium,low,City bands + toeslag links,P2,"Childcare Cost Estimator (id=childcare-cost-estimator, templateType=calculator). Family relocator utility"
https://www.expatcopilot.com/netherlands/housing/tools/rent-affordability-calculator/,CALCULATOR,medium,medium,movers;housing platforms;expat communities,low,medium,low,Tie to COL seed; shareable outputs,P2,"Rent Affordability Calculator (id=rent-affordability-calculator, templateType=calculator). Useful but common pattern"
https://www.expatcopilot.com/netherlands/integration/tools/inburgering-exam-readiness-checker/,INTERACTIVE_TOOL,medium,medium,movers;expat communities,low,medium,low,Study plan export,P3,"Inburgering Exam Readiness Checker (id=inburgering-exam-readiness-checker, templateType=checker). Community utility > citations"
https://www.expatcopilot.com/netherlands/integration/tools/integration-requirement-checker/,INTERACTIVE_TOOL,medium,medium,movers;HR,medium,medium,low,Map DUO/IND accurately,P2,"Integration Requirement Checker (id=integration-requirement-checker, templateType=checker). HR spouse onboarding reference"
https://www.expatcopilot.com/netherlands/leaving/tools/exit-readiness-checker/,CHECKLIST,medium,medium,leavers;HR offboarding;relocation companies,medium,medium,medium,Corporate offboarding checklist PDF,P2,"Exit Readiness Checker (id=exit-readiness-checker, templateType=checker). Exit packages for relocators"
https://www.expatcopilot.com/netherlands/leaving/tools/repatriation-cost-calculator/,CALCULATOR,medium,medium,leavers;relocation companies;HR,medium,high,medium,Cost breakdown for repatriation RFPs,P1,"Repatriation Cost Calculator (id=repatriation-cost-calculator, templateType=calculator). Fewer inbound competitors"
