family,path,lcp_element,root_cause,fix,lcp_before_ms,lcp_after_ms,tbt_before_ms,tbt_after_ms,cls_before,cls_after,transfer_before_bytes,transfer_after_bytes,unused_js_before_bytes,unused_js_after_bytes,perf_before,perf_after,notes
nl_hub,/netherlands,Text H1 (no hero image),Full-client PortalNetherlandsTemplate + Header/nav hydration + gtag main-thread,"RSC island-split hub; dynamic MegaMenu/search/drawer; gtag lazyOnload",2723,3971,1447,139,0,0,692354,661818,300,125619,0.71,0.86,"TBT primary win. LCP after on localhost (no CDN) — not apples-to-apples vs prod CDN; TBT comparable lab signal"
lifestyle_guide,/netherlands/life/dating-in-the-netherlands,priority hero PNG (~722KB) + intro PNG,unoptimized Next/Image on hero + GuidePremiumVisualFigure raw PNGs,"Enable optimizer on hero + GuidePremiumVisualFigure; shared shell JS defer",6937,4575,154,86,0,0,2359061,864950,150,126326,0.74,0.83,After LCP from warmed local image-optimizer pass; transfer −63%
banking_affiliate,/netherlands/money/banking/best-banks-expats,priority hero PNG (~618KB) + intro PNG,unoptimized Next/Image on hero + premium figures,"Enable optimizer on hero + GuidePremiumVisualFigure",6504,4483,74,72,0,0,2296455,847226,300,126391,0.77,0.84,First local pass (cold-ish); transfer −63%; CLS unchanged
city_hub,/netherlands/amsterdam,Hero image (already optimized) + shared JS,Shared shell/gtag delaying paint,"Header code-split + gtag lazyOnload (hero already optimized)",5588,4722,179,64,0,0,791740,782825,300,126326,0.77,0.82,Modest LCP gain; TBT improved
ymyl_tax_guide,/netherlands/taxes/30-percent-ruling,Hero image + shared JS,Shared shell/gtag (hero already optimized),"Header code-split + gtag lazyOnload",5747,4663,102,84,0,0,799184,752888,450,126272,0.78,0.82,Residual: sitewide unused JS / master PNG size
services_hub,/netherlands/services,Hero + shared JS / hub interactivity,Shared shell JS + moderate TBT,"Header code-split + gtag lazyOnload",5463,4379,364,112,0,0,743636,722303,600,126326,0.71,0.84,TBT −69%
tool_visa_checker,/netherlands/visa-checker,Tool UI / hero + heavy client chunk,Tool client JS + shared shell,"Shared shell deferral + gtag lazyOnload; VisaCheckerClient split flagged for follow-up",5285,4517,521,105,0,0,758592,716625,750,126326,0.61,0.84,Large TBT win from shell; deeper tool code-split still needed
trust_about,/about,Text/brand LCP + shared JS,Shared shell/gtag,"Header code-split + gtag lazyOnload",4876,4289,90,101,0,0,698466,654116,600,126326,0.78,0.85,Small LCP improvement
comparison,/netherlands/cities/amsterdam-vs-rotterdam,Hero (was unoptimized),unoptimized hero + shared JS,"Enable hero optimizer; header defer",3334,4251,420,114,0,0,1436765,759814,300,125781,0.82,0.85,"TBT −73%; LCP higher on localhost vs prod CDN — transfer −47%"
cornerstone_moving,/netherlands/moving-to-the-netherlands,Hero + SSR copy,gtm_and_shared_js_weight,"Shared shell deferral",3035,3228,85,125,0,0,891147,738944,150,124790,0.94,0.92,Within lab noise; CLS 0
official_figures,/netherlands/official-figures,Text/table LCP,gtm_and_shared_js_weight,"Shared shell deferral",2730,3649,149,99,0,0,700878,658214,300,125615,0.95,0.89,Localhost LCP variance; TBT slightly better
search_utility,/search,Search chrome LCP,Shared shell JS,"Header search dynamic import + gtag lazyOnload",4559,4265,146,104,0,0,751930,653264,450,126326,0.82,0.83,Search field deferred until client mount
