url,title,h1,intent,content_depth,unique_sections,tool_integration,internal_links_role,canonical,sitemap,traffic_gsc,backlinks,freshness_burden,overlap_score_0_to_5,decision,rationale
/netherlands/taxes/,Netherlands Taxes Guide for Expats | Income Tax 30% Ruling & Dutch Tax System,Netherlands Taxes Guide for Expats,TAX_HUB,deep_hub,"how-it-works; boxes; 30%; employees; freelancers; international; returns; services; FAQ; explore-next",links_to_taxes_tools_and_money_foundations,cluster_root,self,yes,unavailable,unavailable,medium,3,REPOSITION,Make taxes IA root; surface Money foundations + official-figures; do not replace Money deep guides
/netherlands/taxes/tools/,Taxes tools for expats in the Netherlands,Taxes,TOOL,short_hub,tool_listing,lists_live_tax_calculators,tools_doorway,self,yes,unavailable,unavailable,low,1,KEEP_DISTINCT,Canonical tools hub under taxes
/netherlands/money/tax-guide-for-expats/,Netherlands Tax Guide for Expats,Netherlands Tax Guide for Expats,DEEP_GUIDE,deep,"learning_path; payslips; returns; 30%; allowances; boxes; double_tax; tools; FAQ",salary_net_30pct_payslip_healthcare_double_tax,money_flagship,self,yes,unavailable,unavailable,high,4,KEEP_DISTINCT,Flagship Money learning path; overlaps hub conceptually but unique journey UX and depth
/netherlands/money/how-taxes-work-in-the-netherlands/,How Taxes Work in the Netherlands,How Taxes Work in the Netherlands,BEGINNER_EXPLAINER,medium,"payroll_vs_return; boxes; credits_vs_allowances",taxes_tools_hub,system_vocabulary,self,yes,unavailable,unavailable,medium,4,KEEP_DISTINCT,Beginner system map; intentional companion to hub not a clone audience page
/netherlands/money/expat-taxes-netherlands/,Expat Taxes in the Netherlands,Expat Taxes in the Netherlands,DEEP_GUIDE,deep,"scenario_led; part_year; foreign_assets; family; cross_border",same_tax_tool_cluster,scenario_companion,self,yes,unavailable,unavailable,high,3,KEEP_DISTINCT,Scenario depth distinct from system explainer and taxes specialist pages
/netherlands/money/tax-residency-netherlands/,Tax Residency in the Netherlands,Tax Residency in the Netherlands,DEEP_GUIDE,deep,"tax_vs_permit; ties; awareness",double_tax_tool,residency_concepts,self,yes,unavailable,unavailable,medium,2,KEEP_DISTINCT,Specific residency intent; taxes URL is redirect alias only
/netherlands/money/tax-return-netherlands/,Tax Return in the Netherlands,Tax Return in the Netherlands,DEEP_GUIDE,deep,"prep_flow; payroll_vs_filing; box_prompts",tax_tools_advisors,filing_orientation,self,yes,unavailable,unavailable,high,2,KEEP_DISTINCT,Specific filing intent; taxes URL is redirect alias only
/netherlands/money/taxes/tax-advisors/,Netherlands tax advisors for expats,Netherlands tax advisors for expats,SUPPORTING_CONTENT,deep,"DIY_vs_advisor; interview_Qs; checklists",all_tax_tools,editorial_when_to_hire,self,yes,unavailable,unavailable,low,2,KEEP_DISTINCT,Editorial guide distinct from /services/tax-advisors directory
/netherlands/taxes/30-percent-ruling/,30% Ruling in the Netherlands,30% Ruling in the Netherlands,SPECIFIC_TAX_TOPIC,deep,"facility; eligibility; 2026_norms; calculator_CTA; advisors",30_ruling_calculator_salary_net_payslip,facility_guide,self,yes,unavailable,unavailable,high,2,KEEP_DISTINCT,Canonical 30% guide under taxes; Money URL redirects here
/netherlands/taxes/taxes-after-moving-netherlands/,Taxes After Moving to the Netherlands,Taxes After Moving to the Netherlands,SPECIFIC_TAX_TOPIC,deep,"BSN; payroll; residency; allowances; 30%; filing",salary_healthcare_tools,arrival_tax,self,yes,unavailable,unavailable,medium,2,KEEP_DISTINCT,Lifecycle arrival tax guide
/netherlands/taxes/leaving-netherlands-tax/,Taxes When Leaving the Netherlands,Taxes When Leaving the Netherlands,SPECIFIC_TAX_TOPIC,deep,"exit_residency; final_return; pensions; allowances",double_tax_leaving_tools,exit_tax,self,yes,unavailable,unavailable,medium,1,KEEP_DISTINCT,Lifecycle exit tax guide
/netherlands/taxes/foreign-income-netherlands/,Foreign Income in the Netherlands,Foreign Income in the Netherlands,SPECIFIC_TAX_TOPIC,deep,"worldwide_income; remote_work; reporting",double_tax_tool,foreign_income,self,yes,unavailable,unavailable,medium,2,KEEP_DISTINCT,Topic depth beyond Money scenarios
/netherlands/taxes/double-taxation-netherlands/,Double Taxation in the Netherlands,Double Taxation in the Netherlands,SPECIFIC_TAX_TOPIC,deep,"treaties; residency; foreign_income; premium_visuals",double_tax_awareness_tool,treaty_guide,self,yes,unavailable,unavailable,medium,2,KEEP_DISTINCT,Premium specialist guide
/netherlands/taxes/net-salary-netherlands/,Net Salary in the Netherlands,Net Salary in the Netherlands,SPECIFIC_TAX_TOPIC,deep,"gross_to_net; brackets; 30%_context",dutch_salary_net_calculator,salary_takehome,self,yes,unavailable,unavailable,medium,3,KEEP_DISTINCT,Pairs with calculator; overlaps gross-vs-net lightly
/netherlands/taxes/gross-vs-net-salary/,Gross vs Net Salary in the Netherlands,Gross vs Net Salary in the Netherlands,BEGINNER_EXPLAINER,medium,"terminology; payslip; deductions",salary_calc_payslip,vocabulary,self,yes,unavailable,unavailable,low,3,KEEP_DISTINCT,Beginner salary wording; keep beside net-salary deep guide
/netherlands/taxes/payroll-tax-netherlands/,Payroll Tax in the Netherlands,Payroll Tax in the Netherlands,SPECIFIC_TAX_TOPIC,deep,"loonheffing; payslip; social",salary_calc_payslip,withholding,self,yes,unavailable,unavailable,medium,2,KEEP_DISTINCT,Payroll-specific
/netherlands/taxes/bonus-tax-netherlands/,Bonus Tax in the Netherlands,Bonus Tax in the Netherlands,SPECIFIC_TAX_TOPIC,deep,"bijzondere_beloning; withholding",salary_calc,bonus_withholding,self,yes,unavailable,unavailable,medium,1,KEEP_DISTINCT,Narrow long-tail
/netherlands/taxes/average-salary-netherlands/,Average Salary in the Netherlands,Average Salary in the Netherlands,SPECIFIC_TAX_TOPIC,deep,"cities; industries; benchmarks",salary_calc,compensation_benchmark,self,yes,unavailable,unavailable,high,1,KEEP_DISTINCT,Benchmark guide adjacent to tax
/netherlands/taxes/healthcare-allowance-netherlands/,Healthcare Allowance in the Netherlands,Healthcare Allowance in the Netherlands,SPECIFIC_TAX_TOPIC,deep,"zorgtoeslag; eligibility; apply",healthcare_allowance_estimator,toeslag,self,yes,unavailable,unavailable,high,1,KEEP_DISTINCT,Canonical long URL; short URL redirects
/netherlands/taxes/rent-allowance-netherlands/,Rent Allowance in the Netherlands,Rent Allowance in the Netherlands,SPECIFIC_TAX_TOPIC,deep,"huurtoeslag; 2026_thresholds",housing_tools,toeslag,self,yes,unavailable,unavailable,high,1,KEEP_DISTINCT,Canonical long URL
/netherlands/taxes/childcare-allowance-netherlands/,Childcare Allowance in the Netherlands,Childcare Allowance in the Netherlands,SPECIFIC_TAX_TOPIC,deep,"kinderopvangtoeslag; registered_care",family_childcare_estimator,toeslag,self,yes,unavailable,unavailable,high,1,KEEP_DISTINCT,Canonical long URL
/netherlands/taxes/property-tax-netherlands/,Property Tax in the Netherlands,Property Tax in the Netherlands,SPECIFIC_TAX_TOPIC,deep,"WOZ; municipal_taxes",none,property_tax,self,yes,unavailable,unavailable,medium,1,KEEP_DISTINCT,Homeowner tax topic
/netherlands/taxes/tools/30-ruling-calculator/,30% Ruling Eligibility Calculator Netherlands 2026,30% Ruling Eligibility Calculator Netherlands,CALCULATOR,interactive,eligibility_allowance_2027_preview,uses_THIRTY_PCT_RULES_2026,tool,self,yes,unavailable,unavailable,high,1,KEEP_DISTINCT,Canonical calculator; Money tool URL redirects here
/netherlands/taxes/tools/dutch-salary-net-calculator/,Dutch Salary Net Calculator 2026,Dutch Salary Net Calculator (2026),CALCULATOR,interactive,gross_to_net_30pct_scenarios,shared_ruling_assumptions,tool,self,yes,unavailable,unavailable,high,1,KEEP_DISTINCT,Canonical salary calculator
/netherlands/taxes/tools/healthcare-allowance-estimator/,Healthcare Allowance Estimator Netherlands,Healthcare Allowance Estimator Netherlands,CALCULATOR,interactive,2026_income_asset_limits,healthcareAllowanceRulesByYear,tool,self,yes,unavailable,unavailable,high,1,KEEP_DISTINCT,Canonical zorgtoeslag estimator
/netherlands/taxes/tools/double-tax-awareness-tool/,Double Tax Awareness Tool Netherlands,Double Tax Awareness Tool Netherlands,CALCULATOR,interactive,residency_signals; treaty_awareness,double_tax_engine,tool,self,yes,unavailable,unavailable,medium,1,KEEP_DISTINCT,Awareness tool not advice
/netherlands/work/tools/payslip-decoder/,Dutch Payslip Decoder,Dutch Payslip Decoder,TOOL,interactive,payslip_line_mapping,payslip_lib,tax_adjacent_work_tool,self,yes,unavailable,unavailable,medium,1,KEEP_DISTINCT,Work-pillar canonical; taxes alias redirects
/netherlands/services/tax-advisors/,Tax Advisors for Expats,Tax Advisors for Expats,SUPPORTING_CONTENT,directory,provider_cards,links_guides,commercial_directory,self,yes,unavailable,unavailable,low,2,KEEP_DISTINCT,Directory distinct from Money editorial advisors guide
/netherlands/official-figures/,Official figures 2026 (site),Official figures,SUPPORTING_CONTENT,citation_table,30pct_norms; HSM; IND,links_30pct_and_calculators,single_source_of_truth_for_figures,self,yes,unavailable,unavailable,high,1,KEEP_DISTINCT,Do not create another independent tax figures source
/netherlands/taxes/expat-taxes-netherlands/,legacy alias,n/a,DUPLICATE,redirect_only,none,none,legacy_external,301_to_money_expat_taxes,excluded_via_alias_list,unavailable,unavailable,none,5,301_TO_CANONICAL,Already 301; App Router shell converted to permanentRedirect
/netherlands/money/taxes/30-percent-ruling/,legacy alias,n/a,DUPLICATE,redirect_only,none,none,legacy_external,301_to_taxes_30pct,excluded_via_alias_list,unavailable,unavailable,none,5,301_TO_CANONICAL,Already 301; App Router shell converted to permanentRedirect
