issue_id,severity,category,title,baseline_status,code_after_status,production_after_status,overall_classification,evidence_summary,recommended_next_action,remediation_report
TECH-P0-SITEMAP-404-NG-PH,P0,indexability,Sitemap country-tool URLs for Nigeria/Philippines return 404 + noindex,OPEN,UNCHANGED,UNCHANGED,UNCHANGED,Prod+code: NG/PH /from/ still 404+noindex and still in sitemap; no remediation,Remove from sitemap until live OR enable landings,
TECH-P1-SLASH-CANONICAL-SITEMAP,P1,technical_seo,"Sitewide trailing-slash: sitemap 308, canonical→308, self-canonical mismatch",OPEN,RESOLVED,UNCHANGED,IMPROVED,Code no-slash sitemap/canonicals; prod still slash locs 308 + canonical→slash,Deploy 01; re-validate production,01-CANONICAL-URL-FIX.md
IA-P1-ORPHAN-COUNTRY-TOOLS,P1,internal_linking,~124 indexable orphans — mostly country×tool /from/ surfaces,OPEN,IMPROVED,REQUIRES_EXTERNAL_VALIDATION,IMPROVED,Code model orphans 124→9; live inlink proof needs deploy+crawl,Deploy linking; re-run IA crawl on prod,03-INTERNAL-LINKING-FIX.md
IA-P1-EXPLORE-CONCENTRATION,P1,architecture,Sitewide ExploreNetherlandsCrossLinks concentrates equity on ~23 URLs,OPEN,RESOLVED,REQUIRES_EXTERNAL_VALIDATION,IMPROVED,Code sim 23→~7.5 links/page; 204 targets; prod HTML not confirmed,Deploy; spot-check Explore HTML,04-INTERNAL-EQUITY-REBALANCE.md
IA-P2-MISSING-HUBS,P2,architecture,Healthcare and education clusters lack clean live hubs,OPEN,RESOLVED,UNCHANGED,IMPROVED,Code hubs /health /education live; prod soft noindex shells without hub content,Deploy hubs; confirm sitemap+indexable,09-HEALTH-EDUCATION-HUBS.md
SERP-P1-MISSING-H1,P1,serp_ctr,19 indexable pages missing H1,OPEN,RESOLVED,UNCHANGED,IMPROVED,Code Scaffold titleAs=h1; prod culture page still no H1,Deploy; SERP metadata crawl,05-ONPAGE-SEMANTICS-FIX.md
SERP-P2-CTR-HEURISTIC,P2,serp_ctr,~122 pages with refined CTR-risk metadata heuristics; 205 long titles,OPEN,UNCHANGED,UNCHANGED,UNCHANGED,No GSC-led CTR remediation,Import GSC; prioritize,
SERP-P2-CANNIBALIZATION-TITLES,P2,cannibalization,Duplicate title groups: homepage/NL hub; living hub/survival guide,OPEN,RESOLVED,REQUIRES_EXTERNAL_VALIDATION,IMPROVED,Titles differentiated in code; prod verify pending,Deploy; verify title tags,05-ONPAGE-SEMANTICS-FIX.md
TRUST-P2-YMYL-EEAT,P2,trust_ymyl,Large HIGH/MEDIUM YMYL surface without named experts; empty SITE_SAME_AS,OPEN,UNCHANGED,UNCHANGED,UNCHANGED,No EEAT remediation,Optional real org sameAs,
TRUST-P2-HEALTH-SCHEMA,P2,schema,Health-insurance page MedicalWebPage/MedicalSpecialty with weak non-advice extract,OPEN,UNCHANGED,UNCHANGED,UNCHANGED,No schema remediation,Align MedicalWebPage usage,
PERF-P1-MOBILE-LCP,P1,performance,Mobile lab LCP never Good across template samples; 9 Poor including lifestyle/banking,OPEN,IMPROVED,REQUIRES_EXTERNAL_VALIDATION,IMPROVED,Local transfer/LCP gains; prod CDN not retested; not reliably Good,Deploy; prod LH+CrUX,06-MOBILE-PERFORMANCE-FIX.md
PERF-P1-HUB-TBT,P1,performance,NL hub mobile TBT ~1450ms,OPEN,RESOLVED,REQUIRES_EXTERNAL_VALIDATION,IMPROVED,Local TBT 1447→139ms; prod not re-measured,Deploy; prod LH /netherlands,06-MOBILE-PERFORMANCE-FIX.md
AUTH-P0-LINKABLE-UNDERPRODUCTIZED,P1,authority,Strongest linkable assets lack public datasets / citation packaging,OPEN,IMPROVED,UNCHANGED,IMPROVED,Phase-1 citation/datasets in code; prod API 404; packaging not live,Deploy authority assets,08-AUTHORITY-ASSETS.md
TECH-P2-REGISTRY-CONFLICT,P2,indexability,working-in-netherlands: COMING_SOON registry vs live 200 without noindex,OPEN,UNCHANGED,UNCHANGED,UNCHANGED,No remediation,Confirm LIVE vs noindex intent,
TECH-P2-INTERNAL-REDIRECT-HOPS,P2,crawl_efficiency,Internal links to next.config redirect aliases (~14),OPEN,UNCHANGED,UNCHANGED,UNCHANGED,Not systematically fixed,Clean alias hrefs after deploy,
TECH-P3-PARAMETER-DISCOVERY,P3,crawl_efficiency,~293 HTML-discovered tool parameter URLs (mostly low search value),OPEN,UNCHANGED,UNCHANGED,UNCHANGED,No dedicated fix; canonical strip still required after deploy,Confirm param canonicalization,
GSC-DATA-GAP,P2,measurement,No GSC page/query exports — CTR/striking-distance prioritization blocked,OPEN,REQUIRES_EXTERNAL_VALIDATION,REQUIRES_EXTERNAL_VALIDATION,REQUIRES_EXTERNAL_VALIDATION,GSC exports still missing,Provide GSC page+query exports,
INFO-STAGED-SCHEDULED,INFO,intentional,"141 staged/not-launched routes (scheduled 404s, coming soon) — not defects",OPEN,UNCHANGED,UNCHANGED,UNCHANGED,Intentional staging,KEEP_HIDDEN / calendar,
INFO-PLACEHOLDER-NOINDEX,INFO,intentional,Placeholder tools intentionally noindex,OPEN,UNCHANGED,UNCHANGED,UNCHANGED,Intentional placeholders,KEEP_HIDDEN until live,
