URL,sensitivity,last reviewed visible,schema dateModified,official sources,effective period,action,status
/netherlands/visa/eu-blue-card/,HIGH_SENSITIVITY,7 September 2026,2026-09-07,IND — European Blue Card / IND — Required amounts / IND — Application fees,1 January 2026–31 December 2026,"ATF + schema added; salary floors from thresholds.ts (re-verified 7 Sep 2026 vs IND).",IMPLEMENTED
/netherlands/practical-life/digid-netherlands/,HIGH_SENSITIVITY,13 September 2026,2026-09-13,DigiD / Government.nl / Rijksoverheid,,"Process guide reviewed for ATF trust; future publishDate not used as dateModified.",IMPLEMENTED
/netherlands/first-90-days-netherlands/,MEDIUM_SENSITIVITY,13 September 2026,2026-09-13,Government.nl / IND,,"Arrival admin narrative reviewed; pairs with interactive planner tool.",IMPLEMENTED
/netherlands/open-bank-account-netherlands/,HIGH_SENSITIVITY,12 August 2026,2026-08-12,Netherlands Worldwide / EUR.nl — Dutch bank account,,"Uses existing content publish/review date; ATF trust strip added.",IMPLEMENTED
/netherlands/housing/,HIGH_SENSITIVITY,13 September 2026,2026-09-13,Pararius Huurmonitor (Q1 2026) / Government.nl / Kadaster,Pararius Huurmonitor Q1 2026 (rent bands),"Hub rent bands cited to Q1 2026 Pararius; future publishDate not used as dateModified.",IMPLEMENTED
/netherlands/visa/partner-family-visa/,HIGH_SENSITIVITY,13 September 2026,2026-09-13,IND — Required amounts,1 July 2026–31 December 2026,"Already on IND required-amounts spine (report 01); dateModified aligned.",IMPLEMENTED
/netherlands/visa/self-employed-visa/,HIGH_SENSITIVITY,13 September 2026,2026-09-13,IND — Required amounts,1 July 2026–31 December 2026,"Already on IND required-amounts spine (report 01); dateModified aligned.",IMPLEMENTED
/netherlands/visa/highly-skilled-migrant/,HIGH_SENSITIVITY,26 August 2026,2026-08-26,IND — Highly skilled migrant / IND — Required amounts,1 January 2026–31 December 2026,"ATF present; schema dateModified 2026-08-26. Thresholds also re-checked 7 Sep 2026 in thresholds.ts.",IMPLEMENTED
/netherlands/taxes/30-percent-ruling/,HIGH_SENSITIVITY,26 August 2026,2026-08-26,Belastingdienst,,"Existing lastReviewed + heroOfficialSources in page model.",IMPLEMENTED
/netherlands/health/health-insurance-comparison-netherlands/,HIGH_SENSITIVITY,30 August 2026,2026-08-30,Government.nl — Health insurance / Rijksoverheid — Zorgverzekering,,"Visible lastReviewed present; schema now uses 2026-08-30 (not future publishDate).",IMPLEMENTED
/netherlands/official-figures/,HIGH_SENSITIVITY,13 September 2026,2026-09-13,IND — Required amounts,1 July 2026–31 December 2026,"Statutory spine page; already ATF + schema aligned.",IMPLEMENTED
/netherlands/integration/inburgering/,HIGH_SENSITIVITY,30 August 2026,2026-08-30,DUO / inburgeren.nl / IND,KNM revised end terms from 1 July 2025 (still current in 2026),"Removed stale (2025) title framing after validating KNM July-2025 change still applies; body dates kept.",IMPLEMENTED
