URL,primary_role,secondary_role,intent,journey_stage,freshness_class,official_sources,overlap_with,decision,canonical_destination,internal_link_action,implementation_status,reason
/netherlands/health/,HEALTHCARE_HUB,ARRIVAL_CHECKLIST_SECTION,Cluster navigation map for healthcare,research-arrival,MEDIUM,n/a (routes only),all health children,KEEP_AND_REPOSITION,self,Clarify system vs insurance; add system-map section,DONE,Hub orients; not a statute guide
/netherlands/living/healthcare-basics/,HEALTHCARE_SYSTEM_GUIDE,,How Dutch healthcare works day-to-day,research-arrival,MEDIUM,Government orientation via living content,insurance guide; hub,KEEP,self,Link from hub + insurance guide,DONE,Distinct from insurance mandate
/netherlands/health-insurance-netherlands/,HEALTH_INSURANCE_GUIDE,ARRIVAL_CHECKLIST_SECTION,Who must insure; deadline; basic package; costs,pre-arrival-arrival,HIGH,Government.nl health insurance,comparison; services; allowance; basics,KEEP_AND_REPOSITION,self,CTA to comparison + directory; freshness dateModified,DONE,Source-of-record for mandate
/netherlands/health/health-insurance-comparison-netherlands/,INSURANCE_COMPARISON,,Decision framework to compare policies (not ranking),research-settling,HIGH,Government.nl; Rijksoverheid,insurance guide; services; best page,KEEP_AND_REPOSITION,self,CTA to insurance guide; related basics+allowance,DONE,GUIDE_VS_COMPARISON distinct
/netherlands/services/health-insurance/,SERVICE_DIRECTORY,HEALTH_INSURANCE_GUIDE,Provider directory; EHIC; international insurance,research-arrival,HIGH,Government.nl; Zorginstituut; SKGZ; EHIC sources,insurance guide; comparison; insurance-providers,KEEP_AND_REPOSITION,self,Eigen risico from shared module; allowance link fixed,DONE,Commercial directory not mandate guide
/netherlands/services/insurance-providers/,SERVICE_DIRECTORY,,Multi-line insurer discovery,research,MEDIUM,Provider sites,health-insurance services,KEEP,self,none,PENDING,Adjacent commercial; not merge this pass
/netherlands/best/health-insurance-for-expats/,SERVICE_DIRECTORY,INSURANCE_COMPARISON,Monetized shortlist comparison surface,research,MEDIUM,n/a,comparison guide,NEEDS_GSC_DATA,self,Defer merge,DOCUMENTED,Partial overlap with comparison
/netherlands/taxes/healthcare-allowance-netherlands/,HEALTHCARE_ALLOWANCE_GUIDE,,Zorgtoeslag eligibility and application orientation,settling,HIGH,Belastingdienst; Government.nl,estimator; insurance guide,KEEP_AND_REPOSITION,self,ATF lastReviewed + schema dateModified,DONE,Canonical allowance explainer
/netherlands/taxes/tools/healthcare-allowance-estimator/,INSURANCE_TOOL,,Personalized zorgtoeslag planning estimate,settling,HIGH,Belastingdienst via rules engine,allowance guide,KEEP,self,none,DONE,GUIDE_VS_TOOL keep distinct
/netherlands/health/gp-netherlands/,GP_GUIDE,,Huisarts registration and gatekeeping,arrival-settling,MEDIUM,Clinical process orientation,basics; emergency; first-90,KEEP,self,Nav ghost → this URL,DONE,Primary care cornerstone
/netherlands/health/emergency-healthcare-netherlands/,EMERGENCY_GUIDE,,112 / HAP / SEH pathways,arrival-settling,MEDIUM,Clinical emergency orientation,living emergencies-safety; GP,KEEP,self,Nav ghost → this URL,DONE,Clinical vs broader safety
/netherlands/health/hospitals-netherlands/,HEALTHCARE_SYSTEM_GUIDE,GP_GUIDE,Hospital and specialist pathways,settling,MEDIUM,,GP; emergency; maternity,KEEP,self,none,DONE,Secondary care depth
/netherlands/health/pharmacies-netherlands/,PHARMACY_GUIDE,,Apotheek and OTC/Rx pickup,settling,MEDIUM,,prescriptions,KEEP,self,none,DONE,
/netherlands/health/prescriptions-netherlands/,PHARMACY_GUIDE,,Recepten and foreign prescriptions,settling,MEDIUM,,pharmacies; GP,KEEP,self,none,DONE,
/netherlands/health/dentists-netherlands/,DENTAL_GUIDE,,Dental care and supplementary cover,settling,MEDIUM,,comparison; children,KEEP,self,none,DONE,
/netherlands/health/physiotherapy-netherlands/,HEALTHCARE_SYSTEM_GUIDE,INSURANCE_COMPARISON,Physio access and insurance limits,settling,MEDIUM,,comparison,KEEP,self,none,DONE,
/netherlands/health/mental-healthcare-netherlands/,MENTAL_HEALTH_GUIDE,,GGZ / POH-GGZ pathways,settling,MEDIUM,,GP; emergency,KEEP,self,none,DONE,
/netherlands/health/maternity-care-netherlands/,MATERNITY_GUIDE,,Midwife-first maternity pathways,family,MEDIUM,,pregnancy; giving-birth,KEEP,self,none,DONE,
/netherlands/family/healthcare-for-children-netherlands/,CHILD_HEALTH_GUIDE,,Children JGZ vaccinations paediatric,family,MEDIUM,,GP; maternity,KEEP,self,none,DONE,
/netherlands/family/pregnancy-netherlands/,MATERNITY_GUIDE,,Pregnancy and midwife timing,family,MEDIUM,,maternity; insurance,KEEP,self,none,DONE,
/netherlands/family/giving-birth-netherlands/,MATERNITY_GUIDE,,Birth-day pathways,family,MEDIUM,,maternity; pregnancy,KEEP,self,none,DONE,
/netherlands/living/emergencies-safety/,EMERGENCY_GUIDE,,Broader emergencies and safety,arrival,MEDIUM,,emergency-healthcare,KEEP,self,none,DONE,Non-clinical safety complement
/netherlands/culture/health-system-culture-basics/,HEALTHCARE_SYSTEM_GUIDE,,Soft culture of care conversations,research,EVERGREEN,,basics; insurance,KEEP_AND_REPOSITION,self (already points to insurance),Defer deepen/merge,DOCUMENTED,Scaffold/thin
/netherlands/official-figures/,STATUTE_MIRROR,HEALTH_INSURANCE_GUIDE,Dated eigen risico and premium band,research,HIGH,Government.nl; Independer orientation,insurance guide; comparison,KEEP,self,none,DONE,Citation spine
/netherlands/after-arriving-netherlands/,ARRIVAL_CHECKLIST_SECTION,HEALTH_INSURANCE_GUIDE,Post-arrival admin including insurance,arrival,MEDIUM,,insurance; first-90,KEEP,self,Summarize + link insurance,DONE,
/netherlands/first-90-days-netherlands/,ARRIVAL_CHECKLIST_SECTION,GP_GUIDE,90-day settlement including insurance/GP,arrival,MEDIUM,Government.nl; IND,insurance; GP tools,KEEP,self,none,DONE,
/netherlands/first-30-days-netherlands/,ARRIVAL_CHECKLIST_SECTION,,First-month admin including insurance awareness,arrival,MEDIUM,,insurance,KEEP,self,none,DONE,
/netherlands/bsn-registration/,ARRIVAL_CHECKLIST_SECTION,,BSN unlocks insurance/DigiD,arrival,MEDIUM,,insurance; DigiD,KEEP,self,none,DONE,
/netherlands/digid-awareness/,ARRIVAL_CHECKLIST_SECTION,,DigiD awareness after BSN,arrival,MEDIUM,,DigiD practical; insurance,KEEP,self,none,DONE,
/netherlands/practical-life/digid-netherlands/,ARRIVAL_CHECKLIST_SECTION,,Full DigiD guide with healthcare context,arrival,HIGH,DigiD.nl; Government.nl,insurance,KEEP,self,none,DONE,
/netherlands/municipality-registration-netherlands/,ARRIVAL_CHECKLIST_SECTION,,Registration → BSN chain,arrival,MEDIUM,,insurance,KEEP,self,none,DONE,
/netherlands/moving/tools/first-90-days/,INSURANCE_TOOL,ARRIVAL_CHECKLIST_SECTION,Interactive settlement planner with health tasks,arrival,MEDIUM,,first-90 guide,KEEP,self,none,DONE,Tool not guide
/netherlands/moving/tools/arrival-planner/,INSURANCE_TOOL,ARRIVAL_CHECKLIST_SECTION,First-week plan including GP,arrival,MEDIUM,,after-arriving,KEEP,self,none,DONE,
/netherlands/health/tools/,HEALTHCARE_HUB,,Health tools category discovery,research,LOW,,estimator,KEEP,self,none,DONE,Most tools placeholder
/netherlands/services/insurance-brokers/,SERVICE_DIRECTORY,,Broker directory,research,MEDIUM,,insurance-providers,STAGED,self when live,Wait schedule 2026-11-01,DOCUMENTED,scheduledGuides gated
/netherlands/taxes/healthcare-allowance/,HEALTHCARE_ALLOWANCE_GUIDE,,Legacy alias,settling,n/a,,allowance guide,301_TO,/netherlands/taxes/healthcare-allowance-netherlands/,Already redirected,DONE,Existing redirect
/netherlands/health/tools/healthcare-allowance-estimator/,INSURANCE_TOOL,,Legacy tool alias,settling,n/a,,taxes estimator,301_TO,/netherlands/taxes/tools/healthcare-allowance-estimator/,Already redirected,DONE,Existing redirect
/netherlands/money/insurance/health/,HEALTH_INSURANCE_GUIDE,,Ghost nav URL,research,n/a,,insurance guide,REMOVE_FROM_NAV_ONLY,/netherlands/health-insurance-netherlands/,Retarget nav + tool registry,DONE,No App Router page
/netherlands/health/gp-registration/,GP_GUIDE,,Ghost nav URL,arrival,n/a,,gp-netherlands,REMOVE_FROM_NAV_ONLY,/netherlands/health/gp-netherlands/,Retarget config/nav,DONE,No page
/netherlands/health/emergency-basics/,EMERGENCY_GUIDE,,Ghost nav URL,arrival,n/a,,emergency-healthcare,REMOVE_FROM_NAV_ONLY,/netherlands/health/emergency-healthcare-netherlands/,Retarget config/nav,DONE,No page
/netherlands/healthcare/,HEALTHCARE_HUB,,Ghost related-link URL,research,n/a,,health hub,REMOVE_FROM_NAV_ONLY,/netherlands/health/,Retarget taxesAfterMoving,DONE,No page
/netherlands/zorgtoeslag-netherlands/,HEALTHCARE_ALLOWANCE_GUIDE,,Ghost services link,settling,n/a,,allowance guide,REMOVE_FROM_NAV_ONLY,/netherlands/taxes/healthcare-allowance-netherlands/,Retarget services category,DONE,No page
/netherlands/services/compare-health-insurance/,INSURANCE_COMPARISON,,Staged legacy compare path,research,n/a,,comparison under /health/,STAGED,/netherlands/health/health-insurance-comparison-netherlands/,Do not 301 without GSC/assert update,DOCUMENTED,Asserted staged; no live page
/netherlands/health/tools/dutch-health-insurance-comparison-tool/,INSURANCE_TOOL,,Placeholder tool,research,n/a,,comparison guide,STAGED,comparison guide when linking,Registry relatedGuides fixed,DONE,Placeholder
/netherlands/health/tools/insurance-comparison-tool/,INSURANCE_TOOL,,Placeholder tool,research,n/a,,comparison guide,STAGED,comparison guide,none,DOCUMENTED,Placeholder
