URL,intent,role,keep/merge/redirect,canonical destination,unique value,traffic evidence,internal links,action,reason
/netherlands/digid-awareness,Arrival DigiD awareness — when/why activate after BSN,GUIDE_VS_AWARENESS — awareness/planning layer,KEEP_BOTH_WITH_DISTINCT_ROLES,/netherlands/digid-awareness,Moving-funnel DigiD timing + tools CTAs; first-weeks sequencing,No local GSC URL hits; prod inbound 24; promoted in backlink docs,Move nav primary; many city/tool links; now cross-links DigiD cornerstone + correct BSN/address,KEEP + sharpen metadata + fix mislabeled BSN/address hrefs,Complementary to DigiD cornerstone; higher equity; redirect not evidenced
/netherlands/practical-life/digid-netherlands,Operational DigiD cornerstone — eligibility security portals mistakes,GUIDE_VS_AWARENESS — full DigiD guide,KEEP_BOTH_WITH_DISTINCT_ROLES,/netherlands/practical-life/digid-netherlands,Premium multi-section DigiD deep dive with security and portal use cases,No local GSC URL hits; prod inbound 11,Hub/footer DigiD card; related from portals/municipality; now links BSN registration + DigiD awareness,KEEP + sharpen metadata + retarget BSN comingSoon to live bsn-registration,Substantial unique sections; hub DigiD destination
/netherlands/municipality-registration-netherlands,BRP/gemeente registration obligation and process,COMPLEMENTARY — legal/process BRP overview,KEEP_BOTH_WITH_DISTINCT_ROLES,/netherlands/municipality-registration-netherlands,Who must register; 5-day rule; BRP↔BSN; special cases; RNI note,No local GSC URL hits; prod inbound 155 (highest of cluster),Key Move admin nav; cities/tools; digid historically overlinked here; now related→address+BSN+DigiD awareness,KEEP + metadata distinction + cross-links to address mechanics,High equity arrival-admin spine; not a duplicate of appointment mechanics guide
/netherlands/practical-life/registering-your-address-netherlands,Address registration mechanics appointments documents temporary housing,COMPLEMENTARY — practical how-to,KEEP_BOTH_WITH_DISTINCT_ROLES,/netherlands/practical-life/registering-your-address-netherlands,Appointments city cards DigiD post temporary housing mistakes checklist,No local GSC URL hits; prod inbound 13; legacy aliases already 301 here,Registration nav; hub card; related DigiD/BSN were comingSoon — now live,KEEP + metadata distinction + fix DigiD/BSN comingSoon to live URLs,Unique mechanics depth; redirect would discard premium asset without traffic proof
/netherlands/bsn-registration,BSN issuance documents city appointments next steps,LIVE_EXISTING_PAGE — BSN source of truth,KEEP (preferred BSN destination),/netherlands/bsn-registration,Dedicated BSN guide with city appointment timing and YMYL trust meta,No local GSC URL hits; prod inbound 113,Move nav; tools; digid/address related; hub now links here; cities retargeted from staged BSN,KEEP + make hub/nav/city preferred destination,Live page must replace staged bsn-netherlands Coming soon
/netherlands/practical-life/bsn-netherlands,Staged BSN practical-life stub (no page),STAGED_DO_NOT_LINK,REDIRECT not issued — leave staged unlinked,/netherlands/bsn-registration (preferred when linking),None — coming-soon route,N/A,Was hub/nav/city Coming soon; hrefs removed/retargeted,STAGED_DO_NOT_LINK — do not emit public hrefs,No live content; do not create thin page; use bsn-registration
/netherlands/government-services,Arrival government-services hub,HUB — journey spine,KEEP + restructure cards,/netherlands/government-services,Ordered live journey Address→BRP→BSN→DigiD→portals/taxes/healthcare,Prod inbound 446,Footer; portals related; hub cards only,CLEAN hub — BSN live; remove staged cards; use live better destinations,BSN must not say Coming soon while bsn-registration is live
/netherlands/practical-life/government-portals-netherlands,Government portals map incl. DigiD/MijnOverheid,LIVE_EXISTING_PAGE,KEEP,/netherlands/practical-life/government-portals-netherlands,Portal directory + MijnOverheid communication layer,Hub + Living nav,Hub card; DigiD related,KEEP as communication/portals destination,Covers staged dutch-government-communication intent without new URL
/netherlands/practical-life/municipality-services-netherlands,Broader gemeente services after registration,LIVE_EXISTING_PAGE,KEEP,/netherlands/practical-life/municipality-services-netherlands,Parking waste family housing business gemeente map,Hub card,Hub + DigiD related; futureGuides staged cleaned to live,KEEP + retarget staged BSN/DigiD/local-taxes cards to live URLs,Distinct from BRP registration and address mechanics
/netherlands/taxes/healthcare-allowance-netherlands,Benefits/allowance orientation via DigiD portals,LIVE_BETTER_DESTINATION for staged government-benefits,KEEP as hub substitute,/netherlands/taxes/healthcare-allowance-netherlands,Zorgtoeslag orientation after BSN/DigiD,Live,Hub card replacing staged government-benefits,LINK from hub,Do not create government-benefits URL
