family,template_label,representative_path,page_intent_class,devices_tested,mobile_perf_score,desktop_perf_score,mobile_lcp_ms,mobile_lcp_cwv,mobile_cls,mobile_tbt_ms,desktop_lcp_ms,curl_ttfb_s,html_bytes,word_count,content_without_js,metadata_in_initial_html,answer_early,long_intro,img_lazy_ratio,tables,template_verdict,search_ux_note,primary_risk
banking_affiliate,Banking / affiliate,/netherlands/money/banking/best-banks-expats,Affiliate/comparison,mobile,0.77,,6504,poor,0,74,,0.105,83927,4901,True,True,True,False,29/31,3,mobile_lcp_poor,Answer may exist in HTML but LCP delays confirmation,oversized_hero_png
city_hub,City hub,/netherlands/amsterdam,Informational hub,mobile,0.77,,5588,poor,0,179,,0.629,67898,4974,True,True,True,False,32/34,1,mobile_lcp_poor,Answer may exist in HTML but LCP delays confirmation,gtm_and_shared_js_weight
comparison,City comparison,/netherlands/cities/amsterdam-vs-rotterdam,Comparison,mobile,0.82,,3334,needs_improvement,0,420,,0.324,57581,4325,True,True,True,False,0/2,21,acceptable_lab_with_caveats,Intent confirmed early,gtm_and_shared_js_weight
cornerstone_moving,Cornerstone guide,/netherlands/moving-to-the-netherlands,Informational cornerstone,mobile,0.94,,3035,needs_improvement,0,85,,0.106,39890,1987,True,True,True,False,5/7,0,acceptable_lab_with_caveats,Intent confirmed early,gtm_and_shared_js_weight
homepage_redirect,Homepage redirect,/,Redirect,curl,,,,,,,,0.094,12870,6,False,False,False,False,0/0,0,redirect_latency_ok,N/A — redirect surface,redirect
lifestyle_guide,Lifestyle guide,/netherlands/life/dating-in-the-netherlands,Informational lifestyle,mobile,0.74,,6937,poor,0,154,,0.142,92901,6378,True,True,True,False,21/23,15,mobile_lcp_poor,Answer may exist in HTML but LCP delays confirmation,oversized_hero_png
nl_hub,Country hub,/netherlands,Informational hub,"desktop,mobile",0.71,1,2723,needs_improvement,0,1447,711,0.107,15118,719,True,True,True,False,0/1,0,mobile_mainthread_heavy,Content OK; interaction risk on hub,high_tbt_hub
not_found_404,404,/netherlands/audit-intentionally-missing-page-404,Error,curl,,,,,,,,0.242,9044,252,True,False,False,False,0/1,0,404_ux_adequate,Recovery links present; H1 clear,none
official_figures,Official figures,/netherlands/official-figures,Reference utility,mobile,0.95,,2730,needs_improvement,0,149,,0.093,18034,1104,True,True,True,False,0/1,1,acceptable_lab_with_caveats,Intent confirmed early,gtm_and_shared_js_weight
origin_country,Origin-country guide,/netherlands/moving/moving-to-netherlands-from/south-africa,Informational guide,mobile,0.77,,5390,poor,0.0002,192,,0.436,36983,1852,True,True,True,False,1/2,1,mobile_lcp_poor,Answer may exist in HTML but LCP delays confirmation,gtm_and_shared_js_weight
redirect_legacy,Legacy redirect,/netherlands/moving,Redirect,curl,,,,,,,,0.074,15,1,False,False,False,False,0/0,0,redirect_latency_ok,N/A — redirect surface,redirect
search_utility,Site search,/search,Utility,mobile,0.82,,4559,poor,0,146,,0.411,8758,237,True,False,False,False,0/1,0,mobile_lcp_poor,Answer may exist in HTML but LCP delays confirmation,gtm_and_shared_js_weight
services_hub,Services hub,/netherlands/services,Commercial/services hub,mobile,0.71,,5463,poor,0,364,,0.401,39436,2393,True,True,True,False,0/2,0,mobile_lcp_poor,Answer may exist in HTML but LCP delays confirmation,gtm_and_shared_js_weight
tool_col_calculator,COL calculator,/netherlands/money/tools/cost-of-living-calculator,Interactive tool,"desktop,mobile",0.87,0.99,3490,needs_improvement,0,210,742,0.545,48053,3646,True,True,True,False,7/9,0,tool_usable_with_js,SSR explains tool; interaction needs hydration,gtm_and_shared_js_weight
tool_visa_checker,Visa checker,/netherlands/visa-checker,Interactive tool,mobile,0.61,,5285,poor,0,521,,0.272,31124,1976,True,True,True,False,13/15,0,mobile_lcp_poor,Answer may exist in HTML but LCP delays confirmation,tool_js_weight
trust_about,Trust/about,/about,Trust / brand,mobile,0.78,,4876,poor,0,90,,0.502,14363,992,True,True,True,False,0/1,0,mobile_lcp_poor,Answer may exist in HTML but LCP delays confirmation,gtm_and_shared_js_weight
ymyl_health,YMYL health,/netherlands/health/health-insurance-comparison-netherlands,YMYL comparison,mobile,0.91,,3326,needs_improvement,0,111,,0.117,101682,6901,True,True,True,False,16/18,11,acceptable_lab_with_caveats,Intent confirmed early,gtm_and_shared_js_weight
ymyl_tax_guide,YMYL tax guide,/netherlands/taxes/30-percent-ruling,YMYL informational,mobile,0.78,,5747,poor,0,102,,0.16,75193,5377,True,True,True,False,4/6,0,mobile_lcp_poor,Answer may exist in HTML but LCP delays confirmation,gtm_and_shared_js_weight
ymyl_visa_guide,YMYL visa guide,/netherlands/visa/highly-skilled-migrant,YMYL informational,mobile,0.93,,3182,needs_improvement,0,92,,0.428,61108,4874,True,True,True,False,7/9,5,acceptable_lab_with_caveats,Intent confirmed early,gtm_and_shared_js_weight
